genes,ShortName,annot,module,IntraModCon,GS.DWVa,pdj.GS.DWVa,GS.VDV2,pdj.GS.VDV2,GS.ARV_2,pdj.GS.ARV_2,MMpurple,padj.MMpurple,MMpink,padj.MMpink,MMgreen,padj.MMgreen
111250594,Sar,Sarcalumenin,pink,10.942038973159804,-0.26918380447954543,0.17142756195037767,-0.3112931356759059,0.09152419809975298,0.02483943559916167,0.9319600507652407,0.7072787066698342,4.534876064060363e-10,0.7667790170599649,1.1901143616493778e-12,0.11424204222924315,0.5019635969510554
111244103,Gly,glycerol-3-phosphate dehydrogenase,purple,10.77944546373972,-0.4381557969208657,0.004955743336058245,-0.39104972991763276,0.01795339688510349,-0.09970876187390071,0.7298705106023083,0.8646625406047197,3.405715139304074e-19,0.29127028600467864,0.0464658369952612,0.685268391822459,2.8209609850618027e-9
111244832,clmd,Calmodulin,purple,10.627610084141063,-0.34698736336272695,0.04782107490987338,-0.2858449356354839,0.13602827166444068,0.2351435439866562,0.26021583180672864,0.8457064365915776,1.3800551880407835e-17,0.2180201304729109,0.15690135306577987,0.5098751142210443,7.695881817753862e-5
111248360,CuP8,Cuticle-protein8,purple,6.9134130155632665,-0.2185506067480424,0.31141753363791536,-0.12843697191380749,0.629977520746867,-0.2749097928373029,0.15901977041750684,0.7730369551643668,5.745225264886176e-13,0.33492009790462723,0.018579461472365895,0.49831072130437876,1.2394524213559758e-4
111245345,CuP14,Cuticle-protein-14,purple,3.5149778083638306,-0.19937484844957096,0.3748878941497001,-0.045008413455490615,0.883582308078137,0.36762917998601846,0.030959092616808372,0.6041787547582027,7.038708445462478e-7,0.3858439388907268,0.00521476901434619,0.15148314068628746,0.35302943034434464
111248674,Glut,Glutamate-receptor-3,purple,14.193725897210955,-0.34708842379863974,0.04771626563759289,-0.14139470368239215,0.5823073917333141,-0.045121770240223666,0.8832284890452324,0.9086243015433801,4.274900698569979e-24,0.38185863949795207,0.005808168116194539,0.4550881034698675,6.241571536547708e-4
111251059,Chl,Glutamate-gated-chloride-channel-subunit-beta,purple,7.702257183839129,-0.2775499465844771,0.1533110744595727,-0.4150600414452281,0.00958213959090209,-0.3331578059226029,0.0625773196572115,0.7822818251128343,1.8790278257112232e-13,0.17796081006613634,0.26302482279565415,0.7099549247235865,3.5980069947299703e-10
111245371,Trans,Organic-cation-transporter-protein,green,17.011581951914824,-0.2696984473890937,0.17033335962825608,-0.3021138530604861,0.10645020855410639,-0.10687388707156566,0.7043055025128493,0.7482611922485187,9.074320658230903e-12,0.2599613299474456,0.08182102016818675,0.6280955972832142,1.6410650282708068e-7
111244631,Twitch,Twitchin,purple,6.884393982922491,-0.190734052636897,0.40527112919840214,-0.2246817387077351,0.2920016976735958,-0.10304682547554865,0.7182896777322701,0.7379387764438062,2.6070734540716034e-11,0.49238764641683097,1.5670854831771892e-4,0.17293340018333506,0.2789214248702755
111252566,Anl,Annulin,pink,10.51581576275858,-0.19292171226921206,0.3973056164506099,-0.23554521838907666,0.25910854119627735,-0.0029538261967884624,0.9921682714778733,0.6831541131383001,3.3320814430633204e-9,0.7624941796519092,1.9346750242454e-12,0.13708267305133134,0.40838624011120445
111249664,HDD,Defense-protein-Hdd11,purple,4.57297080489452,-0.31944442386025595,0.07961475193762281,-0.23337434181877198,0.2654328402400145,-0.297626336851207,0.11437458744597793,0.7184650449466125,1.6782065564715446e-10,0.46399726424779475,4.565512265139694e-4,0.49012897768495184,1.714296446483961e-4
